Config: 
--------------------------------------------
leader L3 of team T0 discovered at 28042.000000 that M28 is in danger (after 3227ms proces-to-process, 619ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 28042.000000 that M29 is in danger (after 3970ms proces-to-process, 2948ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 35475.000000 that M24 is in danger (after 5264ms proces-to-process, 1544ms node-to-node, 6hops, 0versions (15 first, 15 discovered)
leader L3 of team T0 discovered at 30900.000000 that M25 is in danger (after 2814ms proces-to-process, 800ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 40408.000000 that M26 is in danger (after 10089ms proces-to-process, 7809ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 28042.000000 that M27 is in danger (after 5216ms proces-to-process, 3036ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 36941.000000 that M20 is in danger (after 8703ms proces-to-process, 6346ms node-to-node, 8hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 24644.000000 that M21 is in danger (after 6997ms proces-to-process, 5940ms node-to-node, 10hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 never discovered that M22 is in danger from 19990.
leader L3 of team T0 discovered at 33545.000000 that M23 is in danger (after 6818ms proces-to-process, 6208ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 29036.000000 that M44 is in danger (after 4621ms proces-to-process, 3067ms node-to-node, 11hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 never discovered that M45 is in danger from 22388.
leader L3 of team T0 discovered at 31084.000000 that M11 is in danger (after 7671ms proces-to-process, 6164ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 25912.000000 that M10 is in danger (after 6194ms proces-to-process, 4603ms node-to-node, 8hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 30900.000000 that M13 is in danger (after 12658ms proces-to-process, 9361ms node-to-node, 8hops, 4versions (9 first, 13 discovered)
leader L3 of team T0 discovered at 33545.000000 that M12 is in danger (after 7208ms proces-to-process, 6664ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 22731.000000 that M15 is in danger (after 3661ms proces-to-process, 1660ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 25912.000000 that M14 is in danger (after 5453ms proces-to-process, 5426ms node-to-node, 5hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 32793.000000 that M17 is in danger (after 4381ms proces-to-process, 2367ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 30058.000000 that M16 is in danger (after 8626ms proces-to-process, 4798ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 34281.000000 that M19 is in danger (after 5120ms proces-to-process, 3763ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 21884.000000 that M18 is in danger (after 5632ms proces-to-process, 5069ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 27082.000000 that M39 is in danger (after 3489ms proces-to-process, 882ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 28136.000000 that M38 is in danger (after 2380ms proces-to-process, 1992ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 25361.000000 that M37 is in danger (after 2429ms proces-to-process, 869ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 discovered at 20293.000000 that M36 is in danger (after 4648ms proces-to-process, 2299ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 32222.000000 that M35 is in danger (after 4347ms proces-to-process, 1034ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 33176.000000 that M34 is in danger (after 2852ms proces-to-process, 1959ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 31697.000000 that M33 is in danger (after 4041ms proces-to-process, 1391ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 23509.000000 that M32 is in danger (after 2403ms proces-to-process, 1233ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 22026.000000 that M31 is in danger (after 4281ms proces-to-process, 1033ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 30441.000000 that M30 is in danger (after 2061ms proces-to-process, 1037ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 20293.000000 that M5 is in danger (after 736ms proces-to-process, 27ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
